author_id,sentiment,YM,model
386494179,1,01/2018,ALL
235153539,0,01/2018,ALL
2159851994,0,01/2018,ALL
91914869,0,01/2018,ALL
1100646876,0,01/2018,ALL
297397741,0,01/2018,ALL
297397741,0,01/2018,ALL
207408939,1,01/2018,ALL
297397741,1,01/2018,ALL
18974329,1,01/2018,ALL
287647703,1,01/2018,ALL
20439043,1,01/2018,ALL
15867081,1,01/2018,ALL
2920672057,1,01/2018,ALL
67059158,0,01/2018,ALL
893314365256085504,1,01/2018,ALL
836272957,0,01/2018,ALL
156568938,0,01/2018,ALL
235153539,0,01/2018,ALL
297397741,1,01/2018,ALL
297397741,1,01/2018,ALL
374966809,1,01/2018,ALL
3185966345,1,01/2018,ALL
2356982959,1,01/2018,ALL
34344009,1,01/2018,ALL
518238327,1,01/2018,ALL
137096480,0,01/2018,ALL
3689830636,1,01/2018,ALL
48616766,1,01/2018,ALL
796094995421741056,0,01/2018,ALL
2650313761,1,01/2018,ALL
15222146,1,01/2018,ALL
756371753039953921,1,01/2018,ALL
927524249635397632,1,01/2018,ALL
477940781,1,01/2018,ALL
563827127,0,01/2018,ALL
57167586,1,01/2018,ALL
304572237,0,01/2018,ALL
153625419,0,01/2018,ALL
213230769,1,01/2018,ALL
889506511004721153,0,01/2018,ALL
527172444,0,01/2018,ALL
40975045,1,01/2018,ALL
2596765172,0,01/2018,ALL
2836222387,0,01/2018,ALL
256965214,1,01/2018,ALL
940646913669464065,0,01/2018,ALL
2365844761,1,01/2018,ALL
710581949165797376,1,01/2018,ALL
352352288,1,01/2018,ALL
235153539,0,01/2018,ALL
20821758,1,01/2018,ALL
518893575,1,01/2018,ALL
403204605,0,01/2018,ALL
704803065,0,01/2018,ALL
855311276976635905,1,01/2018,ALL
940646913669464065,0,01/2018,ALL
297397741,1,01/2018,ALL
112649344,0,01/2018,ALL
292828835,1,01/2018,ALL
2858812331,0,01/2018,ALL
16856037,1,01/2018,ALL
4006459633,1,01/2018,ALL
2478926738,0,01/2018,ALL
4166755647,1,01/2018,ALL
123532694,0,01/2018,ALL
192105258,1,01/2018,ALL
51527027,0,01/2018,ALL
4830114910,1,01/2018,ALL
1258959697,1,01/2018,ALL
895952520295600128,0,01/2018,ALL
2271438620,0,01/2018,ALL
1178681942,0,01/2018,ALL
555031989,1,01/2018,ALL
546313843,1,01/2018,ALL
3106496661,1,01/2018,ALL
701942628,1,01/2018,ALL
97706444,1,01/2018,ALL
2922063246,1,01/2018,ALL
256965214,1,01/2018,ALL
904766669893062662,0,01/2018,ALL
919997827136106502,0,01/2018,ALL
3669155717,0,01/2018,ALL
777017868684697600,0,01/2018,ALL
629084145,1,01/2018,ALL
3815139737,1,01/2018,ALL
26728940,1,01/2018,ALL
343861732,1,01/2018,ALL
37164390,0,01/2018,ALL
280282927,0,01/2018,ALL
15707661,0,01/2018,ALL
266061145,1,01/2018,ALL
374966809,1,01/2018,ALL
297397741,0,01/2018,ALL
20070807,1,01/2018,ALL
253615321,1,01/2018,ALL
297397741,0,01/2018,ALL
297397741,1,01/2018,ALL
919997827136106502,0,01/2018,ALL
855311276976635905,1,01/2018,ALL
93283309,0,01/2018,ALL
518893575,0,01/2018,ALL
836264894219620353,1,01/2018,ALL
1072508497,0,01/2018,ALL
236025544,0,01/2018,ALL
901117520706322432,0,01/2018,ALL
123855061,0,01/2018,ALL
846408660,0,01/2018,ALL
15296929,1,01/2018,ALL
250543278,0,01/2018,ALL
485604363,0,01/2018,ALL
2485513440,0,01/2018,ALL
18231343,1,01/2018,ALL
620859626,0,01/2018,ALL
256965214,0,01/2018,ALL
79141783,0,01/2018,ALL
14229262,1,01/2018,ALL
297397741,1,01/2018,ALL
297397741,1,01/2018,ALL
197553087,0,01/2018,ALL
3669155717,1,01/2018,ALL
18075019,1,01/2018,ALL
1536562052,0,01/2018,ALL
555031989,0,01/2018,ALL
18018985,0,01/2018,ALL
4825467916,0,01/2018,ALL
3792414380,0,01/2018,ALL
36062750,1,01/2018,ALL
947117183376732160,1,01/2018,ALL
376051531,1,01/2018,ALL
911716127365042177,1,01/2018,ALL
889506511004721153,0,01/2018,ALL
52571677,0,01/2018,ALL
2543746963,1,01/2018,ALL
1118765467,1,01/2018,ALL
18952656,0,01/2018,ALL
297397741,0,01/2018,ALL
919997827136106502,0,01/2018,ALL
103487825,1,01/2018,ALL
2910338466,1,01/2018,ALL
335469402,0,01/2018,ALL
62930133,1,01/2018,ALL
4009282273,0,01/2018,ALL
889506511004721153,0,01/2018,ALL
90329394,1,01/2018,ALL
297397741,0,01/2018,ALL
230403822,0,01/2018,ALL
1698120116,0,01/2018,ALL
919997827136106502,1,01/2018,ALL
102877736,0,01/2018,ALL
1703056327,0,01/2018,ALL
68204430,0,01/2018,ALL
123246627,1,01/2018,ALL
